CODIGO;DESCRIPCION;FAMILIA;CANTIDAD;DEMANDA_APLICABLE;S_MIN;COMPRA_MIN;LOTE;PEDIR
11670;TRIXIE ARNES PREMIUM ACOLCHADO S-M;ACCESORIOS;0.0;0.0;0.0;1;1;0
11676;PER-ROS COLCHONETA IMPERMEABLE SOFT GRANDE;ACCESORIOS;0.0;0.0;0.0;1;1;0
11677;KONG BOUNZER ULTRA XL;ACCESORIOS;0.0;0.0;0.0;1;1;0
11679;KONG AIRDOG STICK MD;ACCESORIOS;0.0;0.0;0.0;1;1;0
11680;KONG AIRDOG BONE M;ACCESORIOS;0.0;0.0;0.0;1;1;0
11683;KONG TRIPLE BARREL;ACCESORIOS;0.0;0.0;0.0;1;1;0
11684;HAGEN CORREA ZEUS SML;ACCESORIOS;0.0;0.0;0.0;7;7;0
11685;ZEUS ARNES M;ACCESORIOS;0.0;0.17;1.0;5;1;5
11686;ZEUS ARNES L;ACCESORIOS;0.0;1.84;2.0;5;1;5
11692;CAMPERA CON PIEL T3;ACCESORIOS;0.0;0.0;0.0;1;1;0
11695;CLORHEXIDINA CON NANO al 4% CIMA;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11697;NACIONAL POLAR SOFT T 2;ACCESORIOS;0.0;0.0;0.0;1;1;0
11698;NACIONAL POLAR SOFT T 3;ACCESORIOS;0.0;0.0;0.0;1;1;0
11699;NACIONAL POLAR SOFT T 4;ACCESORIOS;0.0;0.0;0.0;1;1;0
11700;PER-ROS BUZO CON FRIZA DISEÑO T3-4;ACCESORIOS;0.0;0.0;0.0;2;2;0
11701;OFERTA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11704;TRIXIE GUANTE DE MASAJE PARA CURA DEL PELO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11706;CATIT MOISES FLUFFY BED BLANCA;ACCESORIOS;0.0;0.0;0.0;1;1;0
11707;ALERGIL PET 10 MG X 10 C;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
11708;ZOOTEC HIERBA PARA GATOS 80 GR - SEMILLA DE GRAMINEAS;ACCESORIOS;0.0;0.42;1.0;5;1;5
11709;PER-ROS PUERTA VAIVEN;ACCESORIOS;0.0;0.0;0.0;1;1;0
11710;ALICATE PARA PERRO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11711;COLONIA LOVELY EN SPRAY;ACCESORIOS;0.0;0.0;0.0;1;1;0
11713;JUGUETE NAVIDAD CHICO;ACCESORIOS;0.0;0.0;0.0;1;1;0
11715;ROU RASCADOR SOFA CARTON;ACCESORIOS;0.0;0.0;0.0;1;1;0
11716;BESTIA PELUDA CAMA OLIVIA S;ACCESORIOS;0.0;0.0;0.0;1;1;0
11717;ANIMAL PET COMEDERO PARA GATO SILICONA S;ACCESORIOS;0.0;0.0;0.0;1;1;0
11720;DERMOXIL SHAMPOO X 250 cc;MEDICAMENTOS FARMACIA;0.0;0.0;0.0;1;1;0
